1/21/19 0:50,a,truly,great,first,lady,who,doesn’t,get,the,credit,she,deserves,https://t.co/wc9bytolkq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/19 23:25,i,am,pleased,to,announce,the,house,has,passed,our,budget,deal,284-149,great,for,our,military,and,our,vets,a,big,thank,you,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/19 2:48,rt,@whitehouse,tonight,the,white,house,was,lit,in,blue,in,honor,of,peace,officers,memorial,day,https://t.co/tv9nan5m2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/19 11:54,“three,separate,caravans,marching,to,our,border,the,numbers,are,tremendous.”,@foxandfriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/19 12:46,rt,@rikerjacqui,@usminority,great,job,brandon,👍🏻❤️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/19 14:22,i,have,not,read,the,mueller,report,yet,even,though,i,have,every,right,to,do,so,only,know,the,conclusions,and,on,the,big,one,no,collusion,likewise,recommendations,made,to,our,great,a.g,who,found,no,obstruction,13,angry,trump,hating,dems,(later,brought,to,18),given,two.....
3/9/19 20:37,rt,@dbongino,is,there,anything,that,the,democrats,stand,for,that,aligns,with,american,values,anymore,now,that,they’ve,gone,all-in,on,anti…,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/19 11:00,“taken,for,granted”,a,wonderful,new,book,by,gianno,caldwell,on,how,conservatism,can,win,back,the,americans,that,liberalism,failed,has,my,full,endorsement,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/19 6:51,rt,@jim_jordan,democrats,are,engaged,in,presidential,obstruction,they're,so,desperate,to,stop,the,president,that,they,won't,help,the,coun…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/19 0:55,rt,@sentedcruz,report,texas,crude,oil,production,breaks,1970s,record,https://t.co/rhpamlx7g2,via,@houstonchron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/19 21:48,....cause,big,disruption,by,going,to,manhattan,working,almost,all,of,the,time,including,evenings,don’t,have,to,be,in,w.h,to,do,that...and,sooo,many,other,FALSE,statements,he,is,right,about,one,thing,though,i,will,win,again,in,2020,otherwise,he,pays,95%,in,taxes,,
2/27/19 9:08,michael,cohen,was,one,of,many,lawyers,who,represented,me,(unfortunately),he,had,other,clients,also,he,was,just,disbarred,by,the,state,supreme,court,for,lying,&amp,fraud,he,did,bad,things,unrelated,to,trump,he,is,lying,in,order,to,reduce,his,prison,time,using,crooked’s,lawyer,
9/18/19 11:51,rt,@repmarkmeadows,twitter,friends,give,a,follow,to,the,newest,conservative,member,of,congress,from,north,carolina,@repgregmurphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/18/19 15:46,defeat,terrorism,https://t.co/8wbnlpgwik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/19 12:15,rt,@sharylattkisson,when,did,we,decide,as,americans,that,it's,ok,fo,govt,&amp,3d,parties,to,censor/,curate,our,info,that,we,cannot,be,trus…,,,,,,,,,,,,,,,,,,,,,,,,
8/20/19 13:41,two,incredible,people,i,can’t,believe,they’re,not,working,(few,work,harder),https://t.co/tsh8kds8qs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/19 12:23,report,christopher,steele,backed,up,his,democrat,&amp,crooked,hillary,paid,for,fake,&amp,unverified,dossier,with,information,he,got,from,“send,in,watchers”,of,low,ratings,cnn,this,is,the,info,that,got,us,the,witch,hunt,,,,,,,,,,,,
3/14/19 19:43,i,look,forward,to,vetoing,the,just,passed,democrat,inspired,resolution,which,would,open,borders,while,increasing,crime,drugs,and,trafficking,in,our,country,i,thank,all,of,the,strong,republicans,who,voted,to,support,border,security,and,our,desperately,needed,wall,,,,,,,,
1/11/19 16:04,humanitarian,crisis,at,our,southern,border,i,just,got,back,and,it,is,a,far,worse,situation,than,almost,anyone,would,understand,an,invasion,i,have,been,there,numerous,times,-,the,democrats,cryin’,chuck,and,nancy,don’t,know,how,bad,and,dangerous,it,is,for,our,entire,country....,
10/26/19 3:21,rt,@realdonaldtrump,https://t.co/zdeoqfpvk1,https://t.co/bxpt7nqtjg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/19 14:38,rt,@repmarkmeadows,this,was,amazing,news,from,over,the,weekend,—,224000,jobs,created,in,june,blowing,away,expectations,of,160000,jobs,…,,,,,,,,,,,,,,,,,,,,,,,,,,,