7/2/19 14:25,big,4th,of,july,in,d.c,“salute,to,america.”,the,pentagon,&amp,our,great,military,leaders,are,thrilled,to,be,doing,this,&amp,showing,to,the,american,people,among,other,things,the,strongest,and,most,advanced,military,anywhere,in,the,world,incredible,flyovers,&amp,biggest,ever,fireworks,,,,,,
10/18/19 13:07,rt,@danscavino,#trumprallydallas,#kag2020,https://t.co/yz7xrj8l1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/19 15:13,such,a,disgrace,that,the,do,nothing,democrats,are,doing,just,as,their,name,suggests,doing,nothing,usmca,anyone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/19 3:53,rt,@gopleader,these,are,the,most,important,facts,we,have:1,the,whistleblower,wasn't,on,the,call.2,the,ig,didn't,read,the,transcript,be…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/9/19 12:33,....i,got,along,very,well,with,jerry,during,the,zoning,and,building,process,then,i,changed,course,(slightly),became,president,and,now,i,am,dealing,with,congressman,nadler,again,some,things,never,end,but,hopefully,it,will,all,go,well,for,everyone,only,time,will,tell,,,,,,,
10/17/19 12:38,rt,@realdonaldtrump,nancy,pelosi,needs,help,fast,there,is,either,something,wrong,with,her,“upstairs”,or,she,just,plain,doesn’t,like,our…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/19 0:22,....we,are,going,to,have,an,election,very,shortly.”,rep,jeff,van,drew,democrat,of,new,jersey,@foxandfriends,thank,you,just,another,witch,hunt,by,nancy,pelosi,and,the,do,nothing,democrats,,,,,,,,,,,,,,,,,,,,,
9/18/19 14:33,rt,@gopchairwoman,the,rnc,smashed,another,fundraising,record,last,month.between,@realdonaldtrump's,accomplishments,and,our,grassroots,in…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/19 19:31,isn’t,it,amazing,that,the,people,who,were,closest,to,me,by,far,and,knew,the,campaign,better,than,anyone,were,never,even,called,to,testify,before,mueller,the,reason,is,that,the,18,angry,democrats,knew,they,would,all,say,‘no,collusion’,and,only,very,good,things,,,,,
7/19/19 14:30,rt,@realdonaldtrump,when,will,the,radical,left,congresswomen,apologize,to,our,country,the,people,of,israel,and,even,to,the,office,of,the…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/19 2:16,https://t.co/ft6fqqmyfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/19 16:41,join,me,in,dallas,texas,this,thursday,(october,17th),at,the,american,airlines,center,#kag2020tickets,https://t.co/dbmvgoqstx,https://t.co/ciuzfcj5ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/26/19 11:02,..the,president,when,flynn,had,been,cleared,of,everything,long,before,that,the,doj,is,withholding,a,lot,of,evidence,&amp,information,as,are,clapper,&amp,brennan,&amp,all,of,the,people,who,participated,in,the,complete,setup,of,michael,flynn.”(terrible,),sidney,powell,this,is,a,disgrace,,,,,
7/9/19 11:48,....and,they,are,both,only,getting,bigger,better,and,stronger.....thank,you,mr,president,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/19 13:56,so,germany,is,paying,zero,interest,and,is,actually,being,paid,to,borrow,money,while,the,u.s,a,far,stronger,and,more,important,credit,is,paying,interest,and,just,stopped,(i,hope,),quantitative,tightening,strongest,dollar,in,history,very,tough,on,exports,no,inflation,.....,,,,,,,
8/15/19 13:57,it,would,show,great,weakness,if,israel,allowed,rep,omar,and,rep.tlaib,to,visit,they,hate,israel,&amp,all,jewish,people,&amp,there,is,nothing,that,can,be,said,or,done,to,change,their,minds,minnesota,and,michigan,will,have,a,hard,time,putting,them,back,in,office,they,are,a,disgrace,
6/16/19 21:08,rt,@danscavino,“millennial,fighting,rare,bone,cancer,responds,to,@joebiden,vow,law,supported,by,@realdonaldtrump,helped,save,my,life”,htt…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/19 23:30,rt,@gopchairwoman,joe,biden,has,been,losing,presidential,elections,since,the,1980s,2020,will,be,no,different,biden,will,have,to,ans…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/19 13:02,rt,@johncornyn,four,pinocchios|,schiff’s,FALSE,claim,his,committee,had,not,spoken,to,the,whistleblower,https://t.co/hsn9pcugy0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/19 22:17,rt,@realdonaldtrump,https://t.co/jds4zvfybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/19 13:25,marist/npr/pbs,poll,shows,president,trump’s,approval,rating,among,latinos,going,to,50%,an,increase,in,one,year,of,19%,thank,you,working,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/19 13:09,make,america,great,again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/19 3:52,rt,@saracarterdc,talking,about,the,breaking,release,of,bruce,ohr,302s,tonight,on,@seanhannity,with,@jim_jordan,and,@jsolomonreports,https:…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/19 22:31,robert,mueller,was,a,hero,to,the,radical,left,democrats,until,he,ruled,that,there,was,no,collusion,with,russia,(so,ridiculous,to,even,say,),after,more,than,two,years,since,the,“insurance,policy”,statement,was,made,by,a,dirty,cop,i,got,the,answers,i,wanted,the,truth.....,,,
8/1/19 17:26,...buy,agricultural,product,from,the,u.s,in,large,quantities,but,did,not,do,so,additionally,my,friend,president,xi,said,that,he,would,stop,the,sale,of,fentanyl,to,the,united,states,–,this,never,happened,and,many,americans,continue,to,die,trade,talks,are,continuing,and...,,,,,,
2/11/19 19:33,https://t.co/lpr2jkylcw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/19 14:45,puerto,rico,is,one,of,the,most,corrupt,places,on,earth,their,political,system,is,broken,and,their,politicians,are,either,incompetent,or,corrupt,congress,approved,billions,of,dollars,last,time,more,than,anyplace,else,has,ever,gotten,and,it,is,sent,to,crooked,pols,no,good,....,,,,,
5/24/19 0:19,....today’s,action,will,help,ensure,that,all,americans,learn,the,truth,about,the,events,that,occurred,and,the,actions,that,were,taken,during,the,last,presidential,election,and,will,restore,confidence,in,our,public,institutions.”,@presssec,,,,,,,,,,,,,,,,,
10/19/19 2:02,congressman,michael,mccaul,“schiff’s,inquiry,defies,democracy.”,@foxnews,@seanhannity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/19 13:13,rt,@mariabartiromo,today,@newtgingrich,you can always impeach if you are in the majority and if you want to commit suicide &amp  that's what…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/19 11:27,v.p,mike,pence,will,be,interviewed,on,@foxandfriends,at,7:30,a.m,enjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/19 16:16,rt,@craigcaplan,senate,failed,in,three,separate,attempts,to,override,president,trump's,vetoes,of,resolutions,blocking,us,arms,sales,to,sau…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/19 2:13,the,story,in,the,@nytimes,about,the,u.s,escalating,attacks,on,russia’s,power,grid,is,fake,news,and,the,failing,new,york,times,knows,it,they,should,immediately,release,their,sources,which,if,they,exist,at,all,which,i,doubt,are,phony,times,must,be,held,fully,accountable,,,,,
1/18/19 2:42,“in,2018,alone,20000,illegal,aliens,with,criminal,records,were,apprehended,trying,to,cross,the,border,and,there,was,a,122%,increase,in,fentanyl,being,smuggled,between,ports,of,entry,last,month,alone,more,than,20000,minors,were,smuggled,into,the,u.s.”,@seanhannity,,,,,,,,,,
10/19/19 17:07,rt,@gopchairwoman,“our,country,is,once,again,living,by,two,simple,rules,buy,american,and,hire,american,the,economy,is,booming,our,peopl…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/19 13:05,the,economy,is,doing,great,with,tremendous,upside,potential,if,the,fed,would,do,what,they,should,we,are,a,rocket,upward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/19 14:59,....your,companies,home,and,making,your,products,in,the,usa,i,will,be,responding,to,china’s,tariffs,this,afternoon,this,is,a,great,opportunity,for,the,united,states,also,i,am,ordering,all,carriers,including,fed,ex,amazon,ups,and,the,post,office,to,search,for,&amp,refuse....,,,,,
7/10/19 1:36,more,and,more,the,radical,left,is,using,commerce,to,hurt,their,“enemy.”,they,put,out,the,name,of,a,store,brand,or,company,and,ask,their,so-called,followers,not,to,do,business,there,they,don’t,care,who,gets,hurt,but,also,don’t,understand,that,two,can,play,that,game,,,
4/23/19 10:44,sorry,to,say,but,@foxandfriends,is,by,far,the,best,of,the,morning,political,shows,on,television,it,rightfully,has,by,far,the,highest,ratings,not,even,close,morning,psycho,(joe),who,helped,get,me,elected,in,2016,by,having,me,on,(free),all,the,time,has,nosedived,too,angry...,,,
3/8/19 21:28,rt,@marklevinshow,ron,desantis,america’s,governor,https://t.co/wmj9yc922a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/19 13:56,.....this,should,never,happen,to,a,president,again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/19 14:14,rt,@tbasharks,rt,@bulldawgderek,@foxandfriends,a,sunday,morning,amen,mark,levin,preach,brother,you,shut,down,ed,henry,and,the,pro,sha…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/19 22:52,thank,you,both,sooo,nice,https://t.co/fo2cljc9yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/19 17:06,....we,discussed,trade,venezuela,ukraine,north,korea,nuclear,arms,control,and,even,the,“russian,hoax.”,very,productive,talk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/19 20:57,our,prayers,are,with,the,great,people,of,south,dakota,we,are,staying,in,close,contact,with,@govkristinoem,and,all,the,state,and,local,leaders,during,and,after,these,devastating,floods,everyone,be,safe,https://t.co/9cncpjz3qi,,,,,,,,,,,,,,,,,,
9/5/19 23:44,just,got,off,the,phone,with,governor,brian,kemp,(@govkemp),of,georgia,happy,to,hear,that,things,are,looking,good,for,everyone,i,stand,by,ready,to,assist,along,with,our,great,team,at,@fema,–,we’re,with,you,all,the,way,,,,,,,,,,,
6/12/19 12:20,rt,@realdonaldtrump,despite,the,phony,witch,hunt,we,will,continue,to,make,america,great,again,thank,you,https://t.co/mxuiolm745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/19 3:39,just,returned,to,the,beautiful,@whitehouse,after,a,great,day,in,wisconsin,and,ohio,https://t.co/wvp3kekg8h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/19 15:55,our,courageous,and,vigilant,armed,forces,safeguard,the,blessings,of,liberty,for,us,and,for,future,generations,by,selflessly,answering,the,call,of,duty,today,and,every,day,we,acknowledge,and,celebrate,all,who,proudly,wear,our,nation’s,uniforms,https://t.co/w4dnjypqvw,https://t.co/bpxkmobseq,,,,,,,,,,,,
10/26/19 12:18,....greatly,help,the,african,american,community,(and,all,other,communities),and,which,was,unable,to,get,done,in,past,administrations,despite,a,tremendous,desire,for,it,this,and,best,unemployment,numbers,ever,is,more,than,kamala,will,ever,be,able,to,do,for,african,americans,,,,,,,,
5/8/19 1:17,rt,@gopchairwoman,hillary,clinton,is,still,claiming,the,election,was,“stolen”,from,her,it,wasn’t.she,had,a,failed,message,and,complet…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/19 3:53,gave,an,off,the,record,luncheon,somewhat,of,a,white,house,tradition,or,custom,to,network,anchors,yesterday,-,and,they,quickly,leaked,the,contents,of,the,meeting,who,would,believe,how,bad,it,has,gotten,with,the,mainstream,media,which,has,gone,totally,bonkers,,,,,,,,
10/8/19 4:05,rt,@brithume,uh,oh,https://t.co/ufnwzcpt0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/19 20:20,congratulations,to,the,2018,@nascar,cup,series,champion,@joeylogano,https://t.co/uhgtuvyric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/19 10:29,what,do,i,know,about,branding,maybe,nothing,(but,i,did,become,president,),but,if,i,were,boeing,i,would,fix,the,boeing,737,max,add,some,additional,great,features,&amp,rebrand,the,plane,with,a,new,name.no,product,has,suffered,like,this,one,but,again,what,the,hell,do,i,know
5/3/19 22:53,the,international,association,of,firefighters,union,is,rebelling,on,their,very,foolish,leader,perhaps,they,will,vote,him,out,of,office,he,doesn’t,get,it,https://t.co/nmaasmxole,https://t.co/7tmg5ntvwo,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/19 10:17,rt,@gr84u2c,@dbongino,@debbieb1230,lousy,choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/19 20:14,“the,vindication,belongs,to,the,president,for,firing,james,comey,it,was,clearly,the,right,thing,to,do,you,don’t,want,an,fbi,director,with,jim,comey’s,ethics.”,jason,riley,wall,street,journal,,,,,,,,,,,,,,,,,,,,
10/28/19 21:22,can,you,believe,that,shifty,adam,schiff,the,biggest,leaker,in,d.c,and,a,corrupt,politician,is,upset,that,we,didn’t,inform,him,before,we,raided,and,killed,the,#1,terrorist,in,the,world,wouldn’t,be,surprised,if,the,do,nothing,democrats,impeach,me,over,that,drain,the,swamp,,,,
10/1/19 10:58,rt,@gopchairwoman,the,american,people,want,washington,to,work,for,them.that’s,what,@realdonaldtrump,has,done,since,he,was,elected.all…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/19 20:44,rt,@steph93065,why,i,am,a,trump,supporter...@realdonaldtrump,#trump2016,https://t.co/l4x4udy63j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/19 18:57,rt,@whitehouse,president,@realdonaldtrump,“i,ask,everyone,in,hurricane,dorian’s,path,to,heed,all,warnings,and,evacuation,orders,from,loca…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/19 0:19,congratulations,to,mariano,rivera,on,unanimously,being,elected,to,the,national,baseball,hall,of,fame,not,only,a,great,player,but,a,great,person,i,am,thankful,for,mariano’s,support,of,the,opioid,drug,abuse,commission,and,@fitnessgov,#entersandman,#hof2019💯,https://t.co/reu1gkwhsq,,,,,,,,,,,,
3/28/19 10:05,will,be,heading,to,grand,rapids,michigan,tonight,for,a,big,rally,will,be,talking,about,the,many,exciting,things,that,are,happening,to,our,country,but,also,the,car,companies,&amp,others,that,are,pouring,back,into,michigan,ohio,pennsylvania,north,&amp,south,carolina,&amp,all,over,,,,,
10/9/19 13:44,rt,@mariabartiromo,https://t.co/s6loemtlmr,@morningsmaria,@foxbusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/19 1:23,senator,ben,sasse,has,done,a,wonderful,job,representing,the,people,of,nebraska,he,is,great,with,our,vets,the,military,and,your,very,important,second,amendment,strong,on,crime,and,the,border,ben,has,my,complete,and,total,endorsement,,,,,,,,,,,,,
5/12/19 17:30,rt,@therightmelissa,@realcandaceo,yap,candace,no,one,in,their,right,mind,believes,the,crazy,looney,toon,things,coming,out,of,the,left,t…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/19 22:37,great,playing,by,@tigerwoods,(at,the),@themasters,tomorrow,will,be,a,big,and,exciting,day,for,golf,and,for,sports,many,fantastic,players,in,the,hunt,ratings,gold,-,good,luck,to,all,,,,,,,,,,,,,,,,,,,,
10/26/19 20:17,....our,republican,candidate,@eddierispone,is,a,successful,conservative,businessman,who,will,stand,with,me,to,create,jobs,and,protect,your,second,amendment,get,out,and,vote,for,eddie,the,next,governor,of,the,great,state,of,louisiana,,,,,,,,,,,,,,,,
4/17/19 11:45,democrats,in,congress,must,return,from,their,vacations,and,change,the,immigration,laws,or,the,border,despite,the,great,job,being,done,by,border,patrol,will,only,get,worse,big,sections,of,wall,now,being,built,,,,,,,,,,,,,,,,,
10/1/19 15:00,why,isn’t,congressman,adam,schiff,being,brought,up,on,charges,for,fraudulently,making,up,a,statement,and,reading,it,to,congress,as,if,this,statement,which,was,very,dishonest,and,bad,for,me,was,directly,made,by,the,president,of,the,united,states,this,should,never,be,allowed,,,,,
2/20/19 13:49,the,new,york,times,reporting,is,FALSE,they,are,a,TRUE,enemy,of,the,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/19 13:17,bryan,dean,wright,former,cia,officer(dem),“in,2016,we,had,a,coup,we,have,to,take,comey,and,others,to,task,makes,no,sense,not,to,prosecute,him,comey,got,a,book,deal,i,fear,for,my,country,he,tried,to,kneecap,our,duly,elected,president,and,there,are,no,consequences.”,@fox&amp,fs
8/17/19 22:06,rt,@twytter14,@tashlutsa,@realdonaldtrump,@clewandowski_,winning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/19 11:46,“billionaire,tech,investor,peter,thiel,believes,google,should,be,investigated,for,treason,he,accuses,google,of,working,with,the,chinese,government.”,@foxandfriends,a,great,and,brilliant,guy,who,knows,this,subject,better,than,anyone,the,trump,administration,will,take,a,look,,,,,,,,,,,,
2/10/19 18:39,....the,fact,is,when,i,took,over,as,president,our,country,was,a,mess,depleted,military,endless,wars,a,potential,war,with,north,korea,v.a,high,taxes,&amp,too,many,regulations,border,immigration,&amp,healthcare,problems,&amp,much,more,i,had,no,choice,but,to,work,very,long,hours,,,,
10/14/19 10:54,former,democrat,senator,harry,reid,just,stated,that,donald,trump,is,very,smart,much,more,popular,than,people,think,is,underestimated,and,will,be,hard,to,beat,in,the,2020,election,thank,you,harry,i,agree,,,,,,,,,,,,,,,,,
4/22/19 23:33,rt,@tomfitton,president,@realdonaldtrump,should,file,a,criminal,complaint,with,doj,over,illicit,targeting,-,@judicialwatch,https://t.co/or…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/19 10:40,their,is,no,reason,for,the,u.s,consumer,to,pay,the,tariffs,which,take,effect,on,china,today,this,has,been,proven,recently,when,only,4,points,were,paid,by,the,u.s,21,points,by,china,because,china,subsidizes,product,to,such,a,large,degree,also,the,tariffs,can,be.....,,,
5/1/19 10:17,rt,@biggeorgeaz,@dbongino,nope,not,me,either,i’m,not,voting,for,crazy,joe,my,support,is,behind,@realdonaldtrump,in,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/19 9:57,rt,@jcoreybates,@dbongino,👈🏼,this,career,firefighter,will,not,be,voting,for,any,democrat,on,the,ticket,i,will,be,voting,for,@potus,again.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/19 19:04,#dday75thanniversary,https://t.co/gisolml4np,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/19 12:24,democrats,in,the,senate,are,still,slow,walking,hundreds,of,highly,qualified,people,wanting,to,come,into,government,never,been,such,an,abuse,in,our,country’s,history,mitch,should,not,let,senate,go,home,until,all,are,approved,we,need,our,ambassadors,and,all,others,now,,,,,,,
10/6/19 13:07,rt,@realdonaldtrump,https://t.co/gzh38ugdck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/19 13:31,very,proud,of,perhaps,the,greatest,golf,course,anywhere,in,the,world,also,furthers,u.k,relationship,https://t.co/3xtzzjh6iq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/19 0:37,will,do,a,fantastic,job,https://t.co/ykcenjhzsk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/19 13:40,democrats,are,allowing,no,transparency,at,the,witch,hunt,hearings,if,republicans,ever,did,this,they,would,be,excoriated,by,the,fake,news,let,the,facts,come,out,from,the,charade,of,people,most,of,whom,i,do,not,know,they,are,interviewing,for,9,hours,each,not,selective,leaks.,,,
7/9/19 14:38,rt,@repmarkmeadows,barr,is,absolutely,right,about,the,mueller,testimony,being,a,public,spectacle..,that’s,all,it,ever,was,democrats',m…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/19 10:40,rt,@stevescalise,radicals,&amp,socialists,have,taken,over,the,democrat,party,they're,calling,all,the,shots,now.just,last,week,they,pressu…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/19 21:32,https://t.co/1kosnhguw2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/19 14:35,i,will,be,interviewed,by,@seanhannity,tonight,at,9:00,pm,on,@foxnews,enjoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/19 12:43,rt,@whitehouse,.@cbparizona,agents,arrested,a,previously,deported,child,rapist,on,wednesday,after,he,attempted,to,re-enter,the,united,stat…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/19 12:50,happy,st,patrick’s,day,☘️,https://t.co/wmunzjsrr8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/19 11:25,rt,@devinnunes,😳,very,convenient..,https://t.co/cb99tg3xcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/19 15:06,bob,mueller,was,a,great,hero,to,the,radical,left,democrats,now,that,the,mueller,report,is,finished,with,a,finding,of,no,collusion,&amp,no,obstruction,(based,on,a,review,of,report,by,our,highly,respected,a.g.),the,dems,are,going,around,saying,“bob,who,sorry,don’t,know,the,man.”,,
5/30/19 0:32,how,do,you,impeach,a,republican,president,for,a,crime,that,was,committed,by,the,democrats,witch-hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/19 1:22,the,do,nothing,democrats,don’t,have,time,to,get,it,done,https://t.co/2cwymtt3gu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/19 21:53,v.p,mike,pence,and,group,had,a,productive,meeting,with,the,schumer/pelosi,representatives,today,many,details,of,border,security,were,discussed,we,are,now,planning,a,steel,barrier,rather,than,concrete,it,is,both,stronger,&amp,less,obtrusive,good,solution,and,made,in,the,u.s.a.,,,,,,,,
4/2/19 2:37,....back,the,house,it,will,be,truly,great,healthcare,that,will,work,for,america,also,republicans,will,always,support,pre-existing,conditions,the,republican,party,will,be,known,as,the,party,of,great,healtcare,meantime,the,usa,is,doing,better,than,ever,&amp,is,respected,again,,,,,,,,
7/22/19 2:16,senator,chuck,schumer,has,finally,gone,to,the,southern,border,with,some,democrat,senators,this,is,a,great,thing,nearby,he,missed,a,large,group,of,illegal,immigrants,trying,to,enter,the,usa,illegally,they,wildly,rushed,border,patrol,some,agents,were,badly,injured....,,,,,,,,,